date  company_number  company_name  company_partial_address  company_link
1st-August-2017  608879  GlashaMotorsportLimited  Co.Donegal  http://www.vision-net.ie/Company-Info/Glasha-Motorsport-Limited
1st-August-2017  608880  MyDivorceLimited  CoKildare  http://www.vision-net.ie/Company-Info/My-Divorce-Limited
1st-August-2017  608881  DigitalBainisteoirTeoranta  CoGalway  http://www.vision-net.ie/Company-Info/Digital-Bainisteoir-Teoranta
1st-August-2017  608882  CorcoranCqvEngineeringServicesLimited  Cork  http://www.vision-net.ie/Company-Info/Corcoran-Cqv-Engineering-Services-Limited
1st-August-2017  608883  WersecLimited  Dublin2  http://www.vision-net.ie/Company-Info/Wersec-Limited
1st-August-2017  608884  AgileControlsLimited  CoGalway  http://www.vision-net.ie/Company-Info/Agile-Controls-Limited
1st-August-2017  608885  CerthiaLimited  Cork  http://www.vision-net.ie/Company-Info/Certhia-Limited
1st-August-2017  608886  JingCaiXuanLimited  Co.Tipperary  http://www.vision-net.ie/Company-Info/Jing-Cai-Xuan-Limited
1st-August-2017  608887  JdxlLimited  Dublin12  http://www.vision-net.ie/Company-Info/Jdxl-Limited
1st-August-2017  608888  PinderEngineeringServicesLimited  Dublin8  http://www.vision-net.ie/Company-Info/Pinder-Engineering-Services-Limited
1st-August-2017  608889  CardiowireLimited  Dublin18  http://www.vision-net.ie/Company-Info/Cardiowire-Limited
1st-August-2017  608890  PruuneConsultingLimited  Ballymun  http://www.vision-net.ie/Company-Info/Pruune-Consulting-Limited
1st-August-2017  608891  PeterRahillEngineeringLimited  Co.Cavan  http://www.vision-net.ie/Company-Info/Peter-Rahill-Engineering-Limited
1st-August-2017  608892  AcsAero1AlphaLimited  Dublin1  http://www.vision-net.ie/Company-Info/Acs-Aero-1-Alpha-Limited
1st-August-2017  608893  WrightCarPartsLimited  Dublin8  http://www.vision-net.ie/Company-Info/Wright-Car-Parts-Limited
1st-August-2017  608894  SphereMediaLimited  Cork  http://www.vision-net.ie/Company-Info/Sphere-Media-Limited
1st-August-2017  608895  WilkoProductionsLimited  Dublin3  http://www.vision-net.ie/Company-Info/Wilko-Productions-Limited
1st-August-2017  608896  FoodandMilkHavenTeoranta  Dublin2  http://www.vision-net.ie/Company-Info/Food-And-Milk-Haven-Teoranta
1st-August-2017  608897  CoymalConstructionLimited  CoLouth  http://www.vision-net.ie/Company-Info/Coymal-Construction-Limited
1st-August-2017  608898  AmmarDentalLimited  Dublin15  http://www.vision-net.ie/Company-Info/Ammar-Dental-Limited
1st-August-2017  608899  ZengimLimited  Co.Limerick  http://www.vision-net.ie/Company-Info/Zengim-Limited
1st-August-2017  608900  EightBlockMedicalServicesLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Eight-Block-Medical-Services-Limited
1st-August-2017  608901  KitchensByVirgoLimited  Co.Meath  http://www.vision-net.ie/Company-Info/Kitchens-By-Virgo-Limited
1st-August-2017  608902  AlanMcGeePersonalInsolvencyServicesLimited  Co.Cork,P25Tn12  http://www.vision-net.ie/Company-Info/Alan-Mcgee-Personal-Insolvency-Services-Limited
1st-August-2017  608903  MillhouseEngineeringLimited  Co.Carlow  http://www.vision-net.ie/Company-Info/Millhouse-Engineering-Limited
1st-August-2017  608904  RipleyCourtOwnerLimited  Dublin1  http://www.vision-net.ie/Company-Info/Ripley-Court-Owner-Limited
1st-August-2017  608905  BonCortesTurpinTradingServicesLimited  Dublin2  http://www.vision-net.ie/Company-Info/Bon-Cortes-Turpin-Trading-Services-Limited
1st-August-2017  608906  LoftusHeritageLimited  Co.Wexford  http://www.vision-net.ie/Company-Info/Loftus-Heritage-Limited
1st-August-2017  608907  WhatWomenWantLimited  Co.Kerry  http://www.vision-net.ie/Company-Info/What-Women-Want-Limited
1st-August-2017  608908  Cef2WindIrelandLimited  Dublin2  http://www.vision-net.ie/Company-Info/Cef-2-Wind-Ireland-Limited
1st-August-2017  608909  SentinelManagementAccountingLimited  DublinD6wYe00  http://www.vision-net.ie/Company-Info/Sentinel-Management-Accounting-Limited
1st-August-2017  608910  TheYellowDoorCafeLimited  Co.Cork  http://www.vision-net.ie/Company-Info/The-Yellow-Door-Cafe-Limited
1st-August-2017  608911  GladstoneSalonsLimited  Dublin7  http://www.vision-net.ie/Company-Info/Gladstone-Salons-Limited
1st-August-2017  608912  HickeysGiftShopLimited  Co.Kerry  http://www.vision-net.ie/Company-Info/Hickeys-Gift-Shop-Limited
1st-August-2017  608913  BsinergyLimited  Dublin8  http://www.vision-net.ie/Company-Info/Bsinergy-Limited
1st-August-2017  608914  TheParagoCommunityNetworkLimited  Dublin17  http://www.vision-net.ie/Company-Info/The-Parago-Community-Network-Limited
1st-August-2017  608915  EcolodgeHoldingsLimited  Co.Kildare  http://www.vision-net.ie/Company-Info/Ecolodge-Holdings-Limited
1st-August-2017  608916  AlaynaCullenLimited  Co.Kildare  http://www.vision-net.ie/Company-Info/Alayna-Cullen-Limited
1st-August-2017  608917  SeanMhuilleanSiamsaíochtLimited  Co.Kerry  http://www.vision-net.ie/Company-Info/Sean-Mhuillean-Siamsaiocht-Limited
1st-August-2017  608918  OryanInvestmentsLimited  Limerick  http://www.vision-net.ie/Company-Info/Oryan-Investments-Limited
1st-August-2017  608919  DonnybrookHotelLimited  Co.Kerry  http://www.vision-net.ie/Company-Info/Donnybrook-Hotel-Limited
