date  company_number  company_name  company_partial_address  company_link
28th-July-2017  608650  MountsidePartners(Entekra)Limited  Dublin7  http://www.vision-net.ie/Company-Info/Mountside-Partners-Entekra-Limited
28th-July-2017  608651  MoffettInvestment(Entekra)UnlimitedCompany  Co.Monaghan  http://www.vision-net.ie/Company-Info/Moffett-Investment-Entekra-Unlimited-Company
28th-July-2017  608652  FoxrockInvestments(Entekra)Limited  Monaghan  http://www.vision-net.ie/Company-Info/Foxrock-Investments-Entekra-Limited
28th-July-2017  608653  ClonesRoadInvestments(Entekra)Limited  Monaghan  http://www.vision-net.ie/Company-Info/Clones-Road-Investments-Entekra-Limited
28th-July-2017  608654  LaffeyFarmingLimited  Co.Galway  http://www.vision-net.ie/Company-Info/Laffey-Farming-Limited
28th-July-2017  608655  IndependentChildandFamilyConsultancyLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Independent-Child-And-Family-Consultancy-Limited
28th-July-2017  608656  LightningAviationLimited  DublinD07P4ax  http://www.vision-net.ie/Company-Info/Lightning-Aviation-Limited
28th-July-2017  608657  RadonIrelandLimited  Cork  http://www.vision-net.ie/Company-Info/Radon-Ireland-Limited
28th-July-2017  608658  FinsightLimited  Dublin15  http://www.vision-net.ie/Company-Info/Finsight-Limited
28th-July-2017  608659  BallydavidConstructionLimited  Co.Galway  http://www.vision-net.ie/Company-Info/Ballydavid-Construction-Limited
28th-July-2017  608660  NorthviewFarmLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Northview-Farm-Limited
28th-July-2017  608661  RealBlissHairLimited  Co.Galway  http://www.vision-net.ie/Company-Info/Real-Bliss-Hair-Limited
28th-July-2017  608662  CarriageMediaMarketingLimited  Co.Kildare  http://www.vision-net.ie/Company-Info/Carriage-Media-Marketing-Limited
28th-July-2017  608663  BlackCatSealantsLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Black-Cat-Sealants-Limited
28th-July-2017  608664  TaraTempleboyAughrisRuralActionCompanyLimitedByGuarantee  Co.Sligo  http://www.vision-net.ie/Company-Info/Tara-Templeboy-Aughris-Rural-Action-Company-Limited-By-Guarantee
28th-July-2017  608665  StaffordCommercialLimited  CoWexford  http://www.vision-net.ie/Company-Info/Stafford-Commercial-Limited
28th-July-2017  608666  WelinkEnergyIberiaHoldings(Ireland)Limited  Dublin18  http://www.vision-net.ie/Company-Info/Welink-Energy-Iberia-Holdings-Ireland-Limited
28th-July-2017  608667  CastillaManagementServicesLimited  Dublin5  http://www.vision-net.ie/Company-Info/Castilla-Management-Services-Limited
28th-July-2017  608668  ParkAvenue(SouthDouglas)ResidentialOwnersManagementCompanyLimitedByGuarantee  DublinD08C8cn  http://www.vision-net.ie/Company-Info/Park-Avenue-South-Douglas-Residential-Owners-Management-Company-Limited-By-Guarantee
28th-July-2017  608669  ParkAvenue(SouthDouglas)EstateManagementCompanyLimitedByGuarantee  DublinD08C8cn  http://www.vision-net.ie/Company-Info/Park-Avenue-South-Douglas-Estate-Management-Company-Limited-By-Guarantee
28th-July-2017  608670  RosebrookManagementServicesLimited  CoKerry  http://www.vision-net.ie/Company-Info/Rosebrook-Management-Services-Limited
28th-July-2017  608671  Singh&BhupinderCo.Limited  Limerick  http://www.vision-net.ie/Company-Info/Singh-And-Bhupinder-Co-Limited
28th-July-2017  608672  WelinkSpainInvestments(Ireland)Limited  Dublin18  http://www.vision-net.ie/Company-Info/Welink-Spain-Investments-Ireland-Limited
28th-July-2017  608673  WelinkPortugalInvestments(Ireland)Limited  Dublin18  http://www.vision-net.ie/Company-Info/Welink-Portugal-Investments-Ireland-Limited
28th-July-2017  608674  HalcyonLoanAdvisorsEuropeanFunding2017-2DesignatedActivityCompany  Dublin1  http://www.vision-net.ie/Company-Info/Halcyon-Loan-Advisors-European-Funding-2017-2-Designated-Activity-Company
28th-July-2017  608675  RonayneFarmingLimited  CoMayo  http://www.vision-net.ie/Company-Info/Ronayne-Farming-Limited
28th-July-2017  608676  ThreestandPropertyInvestmentLimited  Dublin18  http://www.vision-net.ie/Company-Info/Threestand-Property-Investment-Limited
28th-July-2017  608677  ArnageGroupLimited  Dublin18  http://www.vision-net.ie/Company-Info/Arnage-Group-Limited
28th-July-2017  608678  ViscobondLimited  Dublin12  http://www.vision-net.ie/Company-Info/Viscobond-Limited
28th-July-2017  608679  RobespierreFilmsLimited  Dublin7  http://www.vision-net.ie/Company-Info/Robespierre-Films-Limited
28th-July-2017  608680  InforadDirectLimited  Co.Limerick  http://www.vision-net.ie/Company-Info/Inforad-Direct-Limited
