date  company_number  company_name  company_partial_address  company_link
2nd-August-2017  609023  PatientiaLimited  Waterford  http://www.vision-net.ie/Company-Info/Patientia-Limited
2nd-August-2017  609024  AllSeasonsPlantandAgriLimited  Co.Kilkenny  http://www.vision-net.ie/Company-Info/All-Seasons-Plant-And-Agri-Limited
2nd-August-2017  609025  TinesinLimited  CorkIreland  http://www.vision-net.ie/Company-Info/Tinesin-Limited
2nd-August-2017  609026  WayneIssuerDesignatedActivityCompany  Dublin2  http://www.vision-net.ie/Company-Info/Wayne-Issuer-Designated-Activity-Company
2nd-August-2017  609027  BrewLabLimited  Dublin7  http://www.vision-net.ie/Company-Info/Brew-Lab-Limited
2nd-August-2017  609028  RdeElectricalEngineeringLimited  Thurles,E41V4p2  http://www.vision-net.ie/Company-Info/Rde-Electrical-Engineering-Limited
2nd-August-2017  609029  FreeWestMediaLimited  Co.Clare  http://www.vision-net.ie/Company-Info/Free-West-Media-Limited
2nd-August-2017  609030  NiallConatyCarpentryLimited  Cavan,A82p961  http://www.vision-net.ie/Company-Info/Niall-Conaty-Carpentry-Limited
2nd-August-2017  609031  MelluateUnlimitedCompany  Co.Galway  http://www.vision-net.ie/Company-Info/Melluate-Unlimited-Company
2nd-August-2017  609032  QuilstarUnlimitedCompany  Co.Galway  http://www.vision-net.ie/Company-Info/Quilstar-Unlimited-Company
2nd-August-2017  609033  CarbarineUnlimitedCompany  Co.Galway  http://www.vision-net.ie/Company-Info/Carbarine-Unlimited-Company
2nd-August-2017  609034  CmsLegalServicesLimited  Dublin15  http://www.vision-net.ie/Company-Info/Cms-Legal-Services-Limited
2nd-August-2017  609035  SmokeyJoesLimited  Co.Limerick  http://www.vision-net.ie/Company-Info/Smokey-Joes-Limited
2nd-August-2017  609036  PlenaryIoLimited  Dublin1  http://www.vision-net.ie/Company-Info/Plenary-Io-Limited
2nd-August-2017  609037  SumeraLimited  Meath  http://www.vision-net.ie/Company-Info/Sumera-Limited
2nd-August-2017  609038  CbStudioLimited  Dublin7  http://www.vision-net.ie/Company-Info/Cb-Studio-Limited
2nd-August-2017  609039  FutureCreativeLimited  Dublin2  http://www.vision-net.ie/Company-Info/Future-Creative-Limited
2nd-August-2017  609040  ReplakonLimited  Co.Tipperary  http://www.vision-net.ie/Company-Info/Replakon-Limited
2nd-August-2017  609041  OxygenCreativeLimited  Co.Wicklow  http://www.vision-net.ie/Company-Info/Oxygen-Creative-Limited
2nd-August-2017  609042  DublinCommercialVehicleRepairsLimited  Co.Dublin  http://www.vision-net.ie/Company-Info/Dublin-Commercial-Vehicle-Repairs-Limited
2nd-August-2017  609043  PaysafeFinance(Ireland)Limited  Dublin4  http://www.vision-net.ie/Company-Info/Paysafe-Finance-Ireland-Limited
2nd-August-2017  609044  NopperaLimited  CoDublin  http://www.vision-net.ie/Company-Info/Noppera-Limited
2nd-August-2017  609045  KilmalogueFarmLimited  Co.Tipperary  http://www.vision-net.ie/Company-Info/Kilmalogue-Farm-Limited
2nd-August-2017  609046  GreenOliveStoreLimited  Dublin15  http://www.vision-net.ie/Company-Info/Green-Olive-Store-Limited
2nd-August-2017  609047  BurredEntertainmentLimited  Dublin12  http://www.vision-net.ie/Company-Info/Burred-Entertainment-Limited
2nd-August-2017  609048  ChildersRoadFoodCentreLimited  Co.Clare  http://www.vision-net.ie/Company-Info/Childers-Road-Food-Centre-Limited
2nd-August-2017  609049  SoleireRenewablesHoldingsLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Soleire-Renewables-Holdings-Limited
2nd-August-2017  609050  PprDigitalAssociatesLimited  CoDublin  http://www.vision-net.ie/Company-Info/Ppr-Digital-Associates-Limited
2nd-August-2017  609051  BobozzLimited  Co.Kerry  http://www.vision-net.ie/Company-Info/Bobozz-Limited
2nd-August-2017  609052  TheSquareAsianStreetFoodLimited  Dublin24,D24dwv9  http://www.vision-net.ie/Company-Info/The-Square-Asian-Street-Food-Limited
2nd-August-2017  609053  IzuAniomaIreland  Dublin10  http://www.vision-net.ie/Company-Info/Izu-Anioma-Ireland
2nd-August-2017  609054  O'DonnellCapitalPartnersLimited  Dublin4  http://www.vision-net.ie/Company-Info/Odonnell-Capital-Partners-Limited
2nd-August-2017  609055  FeanahHoldingsLimited  Co.Dublin  http://www.vision-net.ie/Company-Info/Feanah-Holdings-Limited
2nd-August-2017  609056  FlowerBoutique(Roundwood)Limited  Co.Dublin  http://www.vision-net.ie/Company-Info/Flower-Boutique-Roundwood-Limited
2nd-August-2017  609057  UniqueElectricalLimited  Dublin12  http://www.vision-net.ie/Company-Info/Unique-Electrical-Limited
2nd-August-2017  609058  ScdAccountantsLimited  CoKildare  http://www.vision-net.ie/Company-Info/Scd-Accountants-Limited
2nd-August-2017  609059  PackofRoguesCommunityPlaygroupCompanyLimitedByGuarantee  Co.Clare  http://www.vision-net.ie/Company-Info/Pack-Of-Rogues-Community-Playgroup-Company-Limited-By-Guarantee
2nd-August-2017  609060  RanrathLimited  CoWexford  http://www.vision-net.ie/Company-Info/Ranrath-Limited
2nd-August-2017  609061  AviatorIrelandTap934  Dublin1  http://www.vision-net.ie/Company-Info/Aviator-Ireland-Tap-934-Designated-Activity-Company
2nd-August-2017  609062  AviatorIrelandTap904  Dublin1  http://www.vision-net.ie/Company-Info/Aviator-Ireland-Tap-904-Designated-Activity-Company
2nd-August-2017  609063  ConnecttheDotsEventsLimited  Dublin2  http://www.vision-net.ie/Company-Info/Connect-The-Dots-Events-Limited
2nd-August-2017  609064  HonourInvestmentsDesignatedActivityCompany  CoDublin  http://www.vision-net.ie/Company-Info/Honour-Investments-Designated-Activity-Company
2nd-August-2017  609065  DublinCityFarmandEcologyCentre  Dublin7  http://www.vision-net.ie/Company-Info/Dublin-City-Farm-And-Ecology-Centre
2nd-August-2017  609066  AmigoLoansIrelandLimited  Dublin2  http://www.vision-net.ie/Company-Info/Amigo-Loans-Ireland-Limited
2nd-August-2017  609067  NewRedwalkCourtPropertyServicesCompanyLimitedByGuarantee  Co.Galway  http://www.vision-net.ie/Company-Info/New-Redwalk-Court-Property-Services-Company-Limited-By-Guarantee
2nd-August-2017  609068  StayCorkCityAparthotelLimited  Cork  http://www.vision-net.ie/Company-Info/Stay-Cork-City-Aparthotel-Limited
2nd-August-2017  609069  ThurlesCommunityEnterpriseProjectsCompanyLimitedByGuarantee  Co.Tipperary  http://www.vision-net.ie/Company-Info/Thurles-Community-Enterprise-Projects-Company-Limited-By-Guarantee
2nd-August-2017  609070  VinnyBeirnePicturesLimited  Co.Dublin  http://www.vision-net.ie/Company-Info/Vinny-Beirne-Pictures-Limited
2nd-August-2017  609071  CarmeliteFathersCommunityEmploymentScheme  Dublin2  http://www.vision-net.ie/Company-Info/Carmelite-Fathers-Community-Employment-Scheme
2nd-August-2017  609072  TheDownSyndromeCentreNorthEast  Co.Monaghan  http://www.vision-net.ie/Company-Info/The-Down-Syndrome-Centre-North-East
2nd-August-2017  609073  TheAnchorageProjectCompanyLimitedByGuarantee  Dublin4  http://www.vision-net.ie/Company-Info/The-Anchorage-Project-Company-Limited-By-Guarantee
2nd-August-2017  609074  OpenstemConsultingLimited  Dublin8  http://www.vision-net.ie/Company-Info/Openstem-Consulting-Limited
2nd-August-2017  609075  MobileMedicalDiagnosticsLimited  Co.Dublin  http://www.vision-net.ie/Company-Info/Mobile-Medical-Diagnostics-Limited
2nd-August-2017  609076  CompleteGuestManagementLimited  Dublin18  http://www.vision-net.ie/Company-Info/Complete-Guest-Management-Limited
2nd-August-2017  609077  AsapTransportLimited  Co.Tipperary  http://www.vision-net.ie/Company-Info/Asap-Transport-Limited
2nd-August-2017  609078  TotalFacadesLimited  Waterford  http://www.vision-net.ie/Company-Info/Total-Facades-Limited
2nd-August-2017  609079  AtlanticImediaVenturesLimited  Co.Clare  http://www.vision-net.ie/Company-Info/Atlantic-Imedia-Ventures-Limited
2nd-August-2017  609080  MonadileLimited  Co.Dublin  http://www.vision-net.ie/Company-Info/Monadile-Limited
2nd-August-2017  609081  TeacherPat'sPlayschoolLimited  Dublin12  http://www.vision-net.ie/Company-Info/Teacher-Pats-Playschool-Limited
2nd-August-2017  609082  AbjlHoldingsLimited  Wicklow  http://www.vision-net.ie/Company-Info/Abjl-Holdings-Limited
2nd-August-2017  609083  BahlsenInternationalBusinessCommunicationLimited  Dublin2  http://www.vision-net.ie/Company-Info/Bahlsen-International-Business-Communication-Limited
2nd-August-2017  609084  PrintonLimited  Co.Galway  http://www.vision-net.ie/Company-Info/Print-On-Limited
2nd-August-2017  609085  AsiaAviationCapitalIrelandLimited  Dublin2  http://www.vision-net.ie/Company-Info/Asia-Aviation-Capital-Ireland-Limited
2nd-August-2017  609086  FoxyPostLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Foxy-Post-Limited
2nd-August-2017  609087  CSDevaneyConstructionLimited  Co.Sligo  http://www.vision-net.ie/Company-Info/Cs-Devaney-Construction-Limited
2nd-August-2017  609088  CelestialFinancialServicesHoldingsDesignatedActivityCompany  Dublin2  http://www.vision-net.ie/Company-Info/Celestial-Financial-Services-Holdings-Designated-Activity-Company
2nd-August-2017  609089  EasoObesityAssociationCompanyLimitedByGuarantee  Dublin2,D02N820  http://www.vision-net.ie/Company-Info/Easo-Obesity-Association-Company-Limited-By-Guarantee
2nd-August-2017  609090  D.A.R.K.GlobalTradesLimited  Longford  http://www.vision-net.ie/Company-Info/Dark-Global-Trades-Limited
