date  company_number  company_name  company_partial_address  company_link
31st-July-2017  608715  IrishPrimaryImmunodeficiencyAssociationCompanyLimitedByGuarantee  CoCarlow  http://www.vision-net.ie/Company-Info/Irish-Primary-Immunodeficiency-Association-Company-Limited-By-Guarantee
31st-July-2017  608716  C&PBuildingContractorsandMainteanceLimited  Co.Meath  http://www.vision-net.ie/Company-Info/Candp-Building-Contractors-And-Mainteance-Limited
31st-July-2017  608717  JbBindingLimited  CoLimerick  http://www.vision-net.ie/Company-Info/Jb-Binding-Limited
31st-July-2017  608718  StepasideF&SLaundryRoomLimited  Co.Dublin  http://www.vision-net.ie/Company-Info/Stepaside-Fands-Laundry-Room-Limited
31st-July-2017  608719  EcoPreschoolLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Eco-Preschool-Limited
31st-July-2017  608720  LeafletDirectLimited  Cork  http://www.vision-net.ie/Company-Info/Leaflet-Direct-Limited
31st-July-2017  608721  MattDonLimited  Roscommon  http://www.vision-net.ie/Company-Info/Matt-Don-Limited
31st-July-2017  608722  AGameChangerTourLimited  Dublin3  http://www.vision-net.ie/Company-Info/A-Game-Changer-Tour-Limited
31st-July-2017  608723  OrangutanProductionsLimited  Dublin2  http://www.vision-net.ie/Company-Info/Orangutan-Productions-Limited
31st-July-2017  608724  FoamFreeCladdingLimited  CoKildare  http://www.vision-net.ie/Company-Info/Foam-Free-Cladding-Limited
31st-July-2017  608725  LongmeadowFormWorksLimited  Co.Meath  http://www.vision-net.ie/Company-Info/Longmeadow-Form-Works-Limited
31st-July-2017  608726  EpgConsultingLimited  Cork  http://www.vision-net.ie/Company-Info/Epg-Consulting-Limited
31st-July-2017  608727  ThePaddockBistroLimited  Co.Westmeath  http://www.vision-net.ie/Company-Info/The-Paddock-Bistro-Limited
31st-July-2017  608728  RoadbridgeFccJvLimited  Limerick  http://www.vision-net.ie/Company-Info/Roadbridge-Fcc-Jv-Limited
31st-July-2017  608729  MatveiBuildingServicesLimited  Dublin15  http://www.vision-net.ie/Company-Info/Matvei-Building-Services-Limited
31st-July-2017  608730  RoccaVentures(CarPark)Limited  Dublin2  http://www.vision-net.ie/Company-Info/Rocca-Ventures-Car-Park-Limited
31st-July-2017  608731  NaasBowlingLimited  Co.Kildare  http://www.vision-net.ie/Company-Info/Naas-Bowling-Limited
31st-July-2017  608732  MjwTechnicalSupportServicesLimited  Co.Tipperary  http://www.vision-net.ie/Company-Info/Mjw-Technical-Support-Services-Limited
31st-July-2017  608733  WakeConstructionLimited  Co.Tipperary  http://www.vision-net.ie/Company-Info/Wake-Construction-Limited
31st-July-2017  608734  MurphyAgriProductsLimited  Co.Tipperary  http://www.vision-net.ie/Company-Info/Murphy-Agri-Products-Limited
31st-July-2017  608735  ViridianSoftwareLimited  Dublin9  http://www.vision-net.ie/Company-Info/Viridian-Software-Limited
31st-July-2017  608736  SoulMaxIntLimited  Cork  http://www.vision-net.ie/Company-Info/Soul-Max-Int-Limited
31st-July-2017  608737  Mortimer&AllenLimited  Co.Mayo  http://www.vision-net.ie/Company-Info/Mortimer-And-Allen-Limited
31st-July-2017  608738  CrivanHoldingsLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Crivan-Holdings-Limited
31st-July-2017  608739  DeborlanContinentalLimited  Co.Dublin  http://www.vision-net.ie/Company-Info/Deborlan-Continental-Limited
31st-July-2017  608740  PeakyandCoBarbershopLimited  Dublin15  http://www.vision-net.ie/Company-Info/Peaky-And-Co-Barbershop-Limited
31st-July-2017  608741  WillowbeeRetailLimited  Dublin4  http://www.vision-net.ie/Company-Info/Willowbee-Retail-Limited
31st-July-2017  608742  LabiniesLimited  Dublin1  http://www.vision-net.ie/Company-Info/Labinies-Limited
31st-July-2017  608743  CfdBespokeLimited  Co.Louth  http://www.vision-net.ie/Company-Info/Cfd-Bespoke-Limited
31st-July-2017  608744  BeyondAviationSolutionsLimited  Dublin2  http://www.vision-net.ie/Company-Info/Beyond-Aviation-Solutions-Limited
31st-July-2017  608745  LansdowneLodgeDevelopmentsLimited  Dublin4  http://www.vision-net.ie/Company-Info/Lansdowne-Lodge-Developments-Limited
31st-July-2017  608746  BraeMediaLimited  Dublin3  http://www.vision-net.ie/Company-Info/Brae-Media-Limited
31st-July-2017  608747  VioletAuraMediaLimited  Dublin3  http://www.vision-net.ie/Company-Info/Violet-Aura-Media-Limited
31st-July-2017  608748  HelleneMediaLimited  Dublin3  http://www.vision-net.ie/Company-Info/Hellene-Media-Limited
31st-July-2017  608749  PuxMediaLimited  Dublin3  http://www.vision-net.ie/Company-Info/Pux-Media-Limited
31st-July-2017  608750  AssuredServicesConstruction&CivilLimited  Dublin1  http://www.vision-net.ie/Company-Info/Assured-Services-Construction-And-Civil-Limited
31st-July-2017  608751  BallinduffInvestmentsLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Ballinduff-Investments-Limited
31st-July-2017  608752  KairosInformationSystemsLimited  CoKildare  http://www.vision-net.ie/Company-Info/Kairos-Information-Systems-Limited
31st-July-2017  608753  ThornburyPharmaceuticalsLimited  Cork  http://www.vision-net.ie/Company-Info/Thornbury-Pharmaceuticals-Limited
31st-July-2017  608754  OldCourthouseCafeLimited  Galway  http://www.vision-net.ie/Company-Info/Old-Courthouse-Cafe-Limited
31st-July-2017  608755  IlivPropertiesLimited  CoMayo  http://www.vision-net.ie/Company-Info/Iliv-Properties-Limited
31st-July-2017  608756  RpmRenovationLimited  Dublin15  http://www.vision-net.ie/Company-Info/Rpm-Renovation-Limited
