date  company_number  company_name  company_partial_address  company_link
3rd-August-2017  609095  NacrumLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Nacrum-Limited
3rd-August-2017  609096  SegmentTechnologiesIreland  Dublin1  http://www.vision-net.ie/Company-Info/Segment-Technologies-Ireland-Limited
3rd-August-2017  609097  Health&MarketingAgencyLimited  Dublin2  http://www.vision-net.ie/Company-Info/Health-And-Marketing-Agency-Limited
3rd-August-2017  609098  HollybrookLandscapesLimited  Dublin3  http://www.vision-net.ie/Company-Info/Hollybrook-Landscapes-Limited
3rd-August-2017  609099  SportsDirectandLeisureLimited  Dublin24,D24Ec84  http://www.vision-net.ie/Company-Info/Sports-Direct-And-Leisure-Limited
3rd-August-2017  609100  SharonHoganConsultingLimited  CoLimerick  http://www.vision-net.ie/Company-Info/Sharon-Hogan-Consulting-Limited
3rd-August-2017  609101  HdfMaritimeLimited  CoMeath  http://www.vision-net.ie/Company-Info/Hdf-Maritime-Limited
3rd-August-2017  609102  LoxiasLimited  Dublin2  http://www.vision-net.ie/Company-Info/Loxias-Limited
3rd-August-2017  609103  AutomotiveComponentsSupplyLimited  Dublin2  http://www.vision-net.ie/Company-Info/Automotive-Components-Supply-Limited
3rd-August-2017  609104  FalconBusinessConsultantsLimited  Cork  http://www.vision-net.ie/Company-Info/Falcon-Business-Consultants-Limited
3rd-August-2017  609105  MaritimeProfessionalServicesLimited  Dublin5  http://www.vision-net.ie/Company-Info/Maritime-Professional-Services-Limited
3rd-August-2017  609106  FamilyIntervention&ConsultancyServiceLimited  Waterford  http://www.vision-net.ie/Company-Info/Family-Intervention-And-Consultancy-Service-Limited
3rd-August-2017  609107  PkkMedicalLimited  Co.Limerick  http://www.vision-net.ie/Company-Info/Pkk-Medical-Limited
3rd-August-2017  609108  CremorganFarmsLimited  Co.Laois  http://www.vision-net.ie/Company-Info/Cremorgan-Farms-Limited
3rd-August-2017  609109  TsubakiLimited  CoCork  http://www.vision-net.ie/Company-Info/Tsubaki-Limited
3rd-August-2017  609110  ProcurementTransformationInstituteDesignatedActivityCompany  Cork  http://www.vision-net.ie/Company-Info/Procurement-Transformation-Institute-Designated-Activity-Company
3rd-August-2017  609111  DeecalContractsLimited  Co.Meath  http://www.vision-net.ie/Company-Info/Deecal-Contracts-Limited
3rd-August-2017  609112  S.M.&SonsTransportLimited  Co.Louth  http://www.vision-net.ie/Company-Info/Sm-And-Sons-Transport-Limited
3rd-August-2017  609113  AemotionLimited  CoWaterford  http://www.vision-net.ie/Company-Info/Aemotion-Limited
3rd-August-2017  609114  AdsealLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Adseal-Limited
3rd-August-2017  609115  JbearFilmsLimited  Co.Cork  http://www.vision-net.ie/Company-Info/Jbear-Films-Limited
3rd-August-2017  609116  TricolourAviationLimited  CoDublin  http://www.vision-net.ie/Company-Info/Tricolour-Aviation-Limited
3rd-August-2017  609117  CollaborativeChangePartnersLimited  Cork  http://www.vision-net.ie/Company-Info/Collaborative-Change-Partners-Limited
3rd-August-2017  609118  SuperiorCorporateAccommodationLimited  Dublin2  http://www.vision-net.ie/Company-Info/Superior-Corporate-Accommodation-Limited
3rd-August-2017  609119  WizzrTechnologiesLimited  Co.Louth  http://www.vision-net.ie/Company-Info/Wizzr-Technologies-Limited
3rd-August-2017  609120  JamesSmallLimited  Dublin4  http://www.vision-net.ie/Company-Info/James-Small-Limited
